Year,Total Words Analyzed,Total Characters Analyzed,Average Word Size,Unique Words,Numerical Terms,Ambivalence,Self-reference,Tenacity,Leveling Terms,Collectives,Praise,Satisfaction,Inspiration,Blame,Hardship,Aggression,Accomplishment,Communication,Cognition,Passivity,Spatial Terms,Familiarity,Temporal Terms,Present Concern,Human Interest,Concreteness,Past Concern,Centrality,Rapport,Cooperation,Diversity,Exclusion,Liberation,Denial,Motion,Insistence,Embellishment,Variety,Complexity,Activity,Optimism,Certainty,Realism,Commonality,File,Word Characters Analyzed
1845,4802,28706,4.89,2324,2.44,16.16,3.78,2.66,145.55,2.79,6.6,6.97,2.75,4.23,10.94,7.16,6.2,6.04,19.41,1.19,2.4,13.13,5.34,14.6,2.16,9.01,5.86,10.25,8.06,0.4,3.53,28.98,0.28,2.34,33.22,37.84,0.96,0.52,4.93,46.92,53.11,51.65,48.76,49.77,15_1845_JP.txt.dfxml,23490
1841,8442,49695,4.8,4051,4.55,11.43,2.17,2.91,162.32,1.48,2.98,11.64,3.21,6.23,15.13,16.35,6.68,6.01,10.44,0.34,1.61,11.78,5.66,8.54,1.4,6.66,11.21,7.45,5.75,0.01,12.72,21.13,3.33,2.54,26.43,16.62,1.17,0.49,4.69,47.8,55.38,50.59,49.65,48.33,14_1841_WH.txt.dfxml,40550
1837,3827,23397,5.03,2107,4.34,7.93,7.64,2.34,132.88,5.3,4.55,6.88,3.93,2.31,11.6,13.09,7.62,7.91,4.19,0.58,2.66,14.07,5.01,5.12,0.83,7.58,8.32,11.64,7.49,0.94,25.4,22.54,1.53,6.73,31.79,12,0.83,0.55,4.8,47.61,53.19,45.28,45.64,52.93,13_1837_MB.txt.dfxml,19239
1833,1173,7054,4.93,604,4.38,8.47,2.25,1.25,155.23,4.89,5.89,8.7,1.75,7.28,17.06,8.86,5.34,2.25,17.46,1.25,1.7,14.65,7.53,18.32,1,9.13,9.53,5.87,21.13,0,14.17,22.53,0.75,1.25,28.4,10.13,0.87,0.56,4.81,43.19,53.96,51.17,49.29,49.61,12_1833_AJ.txt.dfxml,5782
1829,1126,6813,4.97,595,4.29,10.04,7.1,2.25,153.9,1.75,8.47,8.6,2.5,3.04,3,18.74,9.19,1.75,12.04,0.75,1,11.46,5.72,14.09,5.72,2.5,10.22,7.38,7.59,1.98,20.14,16.43,1,4.47,23.16,2.45,0.9,0.58,5.03,47.43,58.05,44.32,47.12,50.3,11_1829_AJ.txt.dfxml,5596
1825,2913,17731,5,1463,5.18,12.09,7.25,4.48,162.6,2.39,7.73,8.05,3.93,4.43,10.51,14.73,2.9,0.82,16.49,4.32,1.66,10.68,2.18,14.56,3.42,9.56,6.19,8.12,4.68,0.19,10.86,28.27,1.17,4.51,15.35,7.78,1.26,0.53,5.05,47.2,54.83,49.83,47.79,48.88,10_1825_JA.txt.dfxml,14576
1821,4459,26266,4.79,2199,3.35,11.7,4.05,2.13,150.47,3.95,4.74,10.17,6.68,2.01,16.66,13.18,3.98,6.07,15.61,0.63,1.08,10.03,1.56,9.53,3.02,8.7,4.57,10.41,5.42,1.06,6.76,31.34,0.36,3.29,26.93,8.08,2.41,0.52,4.85,45.86,54.22,51.62,48.08,49.39,9_1821_JM.txt.dfxml,21369
1817,3366,19850,4.8,1696,1.46,11.09,1.87,2.34,154.81,3.74,7,14.57,3.11,2.28,12.1,10.15,8.26,6.07,15.83,0.34,3.55,12.69,3.24,10.74,0.86,8.16,8.22,9.06,6.45,1,8.67,35.38,0.66,2.75,26.41,6.98,1.34,0.52,4.73,47.2,56.3,51.23,48.4,51.19,8_1817_JM.txt.dfxml,16159
1813,1210,7157,4.83,651,5.86,10.53,6.51,1.94,144.48,6.57,10.71,10.07,12.39,1.25,6.32,14.17,5.13,9.32,16.16,1.25,4.82,7.5,3.63,9.15,1.25,8.45,3.57,10.3,4.52,2.38,2.5,28.4,1.5,2.19,28.67,6.01,1.55,0.59,4.86,49.62,52.85,47.22,46,52.53,7_1813_JM.txt.dfxml,5845
1809,1175,7000,4.88,648,4.75,14.67,4.93,3.43,162.64,3.68,4.43,10.15,3.93,3.25,9.54,12.86,12.5,5.43,9.89,0.25,1.25,7,3.86,7.42,2.5,6.16,12.76,7.41,4.79,2.18,16.25,24.06,1.5,4.36,15.32,1.26,0.98,0.6,4.86,48.68,56.85,45.85,49.01,49.61,6_1809_JM.txt.dfxml,5732
1805,2153,12926,4.86,1143,3.38,12.22,10.22,1.06,128.22,5.39,4.51,4.62,2.66,1.6,10.54,14.44,7.21,5.7,12.7,0.38,5.12,16.08,4.39,8.07,1.06,9.06,10.15,7.32,6.42,0,13.43,29.04,1.39,3.13,48.22,5.7,0.44,0.58,4.75,47.5,53.29,47.74,47.85,51.63,5_1805_TJ.txt.dfxml,10460
1801,1720,10131,4.77,904,5.32,6.32,7.26,1.25,147.24,5.4,4.9,18.95,4.65,5.58,12.13,13.89,5.4,5.66,10.44,1.19,2.39,9.91,2.39,6.55,3.9,9.68,7.88,13.42,4.68,2.26,13.98,23.5,3.52,2.39,30.4,13.81,2.27,0.55,4.61,46.26,55.7,46.99,47.97,47.72,4_1801_TJ.txt.dfxml,8203
1797,2318,13875,4.87,1166,4.61,14.01,8.03,3.38,150.57,3.29,7.58,8.96,3.2,2.91,16.47,23.72,6.26,6.9,14.44,2.38,0.29,13.37,2.69,12.97,0.62,8.34,7.3,17.04,8.44,0.12,12.57,18.12,0.44,4.02,15.79,32.01,1.21,0.51,4.76,45.87,56.77,49.3,48.55,51.29,3_1797_JA.txt.dfxml,11285
1793,135,788,4.74,90,10.62,3.7,0,0,151.85,0,5.56,7.41,3.7,0,11.11,10.33,3.7,0,14.81,0,3.7,14.81,0,9.26,3.7,20.37,7.41,11.67,0,3.7,33.33,40.74,0,3.7,11.11,0.74,0.69,0.67,4.74,54.61,55.31,44.1,47.59,50.86,2_1793_GW.txt.dfxml,640
1789,1429,8614,4.95,767,6.71,10.37,10.38,4.58,150.51,2.58,6.75,8.54,3.29,2.67,7.83,8.34,5.25,6.08,13.01,2.25,1.92,11.29,3.04,11.78,2.08,9.37,7.62,10.01,4.7,0.58,20.91,28.02,0.5,3,15.99,1.47,1.11,0.54,4.97,47.31,53.41,46.76,46.84,49.35,1_1789_GW.txt.dfxml,7072
